[00:41:01] [Dziekan] Uczelnia otwarta. Miejsc: 1500. Przewidywana liczba kandydatow: 15000.
[00:41:01] [Dziekan] Komisja A (PID: 345518) i komisja B (PID: 345519) rozpoczynaja prace.
[00:41:08] 
 [Dziekan] KONIEC EGZAMINU. OBLICZANIE RANKINGU I PUBLIKACJA WYNIKOW

=================================================================================
| NR   | PID        | MATURA   | KOM A    | KOM B    | SUMA  | STATUS                   |
| 56   | 345608     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 57   | 345609     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 58   | 345610     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 59   | 345611     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 60   | 345612     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 61   | 345613     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 62   | 345614     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 63   | 345615     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 64   | 345616     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 65   | 345617     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 66   | 345618     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 67   | 345619     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 68   | 345620     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 69   | 345621     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 70   | 345622     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 71   | 345623     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 72   | 345624     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 73   | 345625     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 74   | 345626     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 75   | 345627     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 76   | 345628     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 77   | 345629     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 78   | 345630     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 79   | 345631     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 80   | 345632     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 81   | 345633     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 82   | 345634     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 83   | 345635     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 84   | 345636     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 85   | 345637     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 86   | 345638     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 87   | 345639     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 88   | 345640     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 89   | 345641     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 90   | 345642     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 91   | 345643     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 92   | 345644     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 93   | 345645     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 94   | 345646     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 95   | 345647     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 96   | 345648     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 97   | 345649     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 98   | 345650     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 99   | 345651     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 100  | 345652     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 101  | 345653     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 102  | 345654     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 103  | 345655     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 104  | 345656     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 105  | 345657     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 106  | 345658     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 107  | 345659     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 108  | 345660     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 109  | 345661     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 110  | 345662     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 111  | 345663     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 112  | 345664     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 113  | 345665     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 114  | 345666     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 115  | 345667     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 116  | 345668     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 117  | 345669     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 118  | 345670     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 119  | 345671     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 120  | 345672     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 121  | 345673     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 122  | 345674     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 123  | 345675     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 124  | 345676     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 125  | 345677     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 126  | 345678     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 127  | 345679     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 128  | 345680     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 129  | 345681     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 130  | 345682     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 131  | 345683     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 132  | 345684     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 133  | 345685     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 134  | 345686     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 135  | 345687     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 136  | 345688     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 137  | 345689     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 138  | 345690     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 139  | 345691     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 140  | 345692     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 141  | 345693     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 142  | 345694     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 143  | 345695     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 144  | 345696     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 145  | 345697     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 146  | 345698     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 147  | 345699     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 148  | 345700     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 149  | 345701     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 150  | 345702     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 151  | 345703     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 152  | 345704     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 153  | 345705     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 154  | 345706     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 155  | 345707     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 156  | 345708     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 157  | 345709     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 158  | 345710     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 159  | 345711     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 160  | 345712     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 161  | 345713     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 162  | 345714     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 163  | 345715     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 164  | 345716     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 165  | 345717     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 166  | 345718     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 167  | 345719     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 168  | 345720     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 169  | 345721     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 170  | 345722     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 171  | 345723     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 172  | 345724     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 173  | 345725     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 174  | 345726     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 175  | 345727     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 176  | 345728     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 177  | 345729     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 178  | 345730     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 179  | 345731     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 180  | 345732     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 181  | 345733     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 182  | 345736     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 183  | 345738     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 184  | 345739     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 185  | 345740     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 186  | 345741     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 187  | 345742     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 188  | 345743     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 189  | 345744     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 190  | 345745     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 191  | 345746     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 192  | 345747     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 193  | 345749     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 194  | 345750     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 195  | 345751     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 196  | 345752     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 197  | 345753     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 198  | 345754     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 199  | 345755     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 200  | 345756     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 201  | 345757     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 202  | 345765     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 203  | 345766     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 204  | 345767     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 205  | 345768     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 206  | 345769     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 207  | 345770     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 208  | 345771     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 209  | 345772     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 210  | 345773     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 211  | 345774     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 212  | 345775     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 213  | 345776     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 214  | 345777     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 215  | 345778     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 216  | 345779     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 217  | 345780     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 218  | 345781     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 219  | 345782     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 220  | 345783     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 221  | 345784     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 222  | 345785     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 223  | 345786     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 224  | 345787     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 225  | 345788     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 226  | 345789     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 227  | 345790     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 228  | 345791     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 229  | 345792     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 230  | 345793     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 231  | 345794     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 232  | 345795     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 233  | 345796     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 234  | 345797     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 235  | 345798     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 236  | 345799     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 237  | 345800     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 238  | 345801     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 239  | 345802     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 240  | 345803     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 241  | 345804     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 242  | 345805     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 243  | 345806     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 244  | 345807     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 245  | 345808     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 246  | 345809     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 247  | 345810     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 248  | 345811     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 249  | 345812     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 250  | 345813     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 251  | 345814     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 252  | 345815     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 253  | 345816     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 254  | 345817     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 255  | 345818     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 256  | 345819     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 257  | 345820     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 258  | 345821     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 259  | 345822     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 260  | 345823     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 261  | 345824     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 262  | 345825     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 263  | 345826     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 264  | 345827     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 265  | 345828     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 266  | 345829     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 267  | 345830     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 268  | 345831     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 269  | 345832     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 270  | 345833     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 271  | 345834     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 272  | 345835     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 273  | 345836     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 274  | 345837     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 275  | 345838     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 276  | 345839     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 277  | 345840     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 278  | 345841     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 279  | 345842     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 280  | 345843     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 281  | 345844     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 282  | 345919     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 283  | 345920     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 284  | 345921     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 285  | 345922     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 286  | 345923     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 287  | 345924     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 288  | 345926     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 289  | 345927     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 290  | 345928     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 291  | 345929     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 292  | 345930     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 293  | 345931     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 294  | 345932     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 295  | 345933     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 296  | 345934     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 297  | 345935     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 298  | 345936     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 299  | 345937     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 300  | 345938     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 301  | 345939     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
